FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME
1992,1992,1447,11,1804,100,D,32.17337043,-110.6950988,AZ,19,Pima
1992,1992,415,16,510,100,D,46.08663237,-91.39795307,WI,113,Sawyer
1996,1996,,20,,100,D,45.10128,-119.75266,OR,49,Morrow
2003,2003,1900,15,2100,100,D,45.5089,-103.3766,SD,,
2009,2009,1422,14,1422,100,D,35.77628,-103.94048,NM,21,Harding
2009,2009,1845,16,1845,100,D,33.170445,-103.72143,NM,25,Lea
2009,2009,1721,4,1721,100,D,33.85965219,-103.4656488,NM,41,Roosevelt
1992,1992,,4,,100,D,42.94617087,-105.8976973,WY,9,Converse
1992,1992,,15,,100,D,28.91,-81.48,FL,69,Lake
1992,1992,,10,,100,D,26.85,-82.03,FL,15,Charlotte
1992,1992,,1,,100,D,26.19,-81.5481,FL,21,Collier
1992,1992,1620,13,,100,D,29.06666667,-81.4,FL,,
1992,1992,,20,,100,D,26.89,-81.33,FL,43,Glades
1992,1992,1530,4,1030,100,D,29.9544444,-93.5502778,LA,,
1993,1993,,12,,100,D,37.14153,-102.23246,CO,,
1993,1993,,7,,100,D,26.76,-81.62,FL,71,Lee
1992,1992,1810,13,,100,D,28.5,-80.65,FL,,
1994,1994,1545,6,1830,100,D,31.69252965,-109.5428008,AZ,3,Cochise
1994,1994,,17,,100,D,45.24767,-118.21131,OR,61,Union
1994,1994,,18,,100,D,40.36971,-107.80163,CO,,
1992,1992,,6,,100,D,26.1611,-81.58,FL,21,Collier
1992,1992,,9,,100,D,29.95,-84.69,FL,37,Franklin
1992,1992,1030,11,,100,D,29.8669444,-93.4669444,LA,,
1994,1994,,14,,100,D,43.54311,-103.865781,SD,,
1992,1992,,4,,100,D,37.58694444,-120.4161111,CA,,
1995,1995,,8,,100,D,27.59,-82.26,FL,81,Manatee
1995,1995,1320,20,1116,100,D,32.80669919,-109.8460183,AZ,9,Graham
1995,1995,,5,,100,D,26.37,-80.68,FL,99,Palm Beach
1992,1992,,11,,100,D,63.516666,-143.416671,AK,,
1996,1996,,4,,100,D,27.47,-82.33,FL,81,Manatee
1996,1996,,17,,100,D,37.71805555,-120.6,CA,,
1992,1992,,1,,100,D,40.83888888,-120.8919444,CA,,
1996,1996,,4,,100,D,38.09805555,-120.5669444,CA,,
1993,1993,,9,,100,D,33.9517,-78.0917,NC,,
1993,1993,1600,11,0,100,D,33.04281061,-109.7418902,AZ,9,Graham
1997,1997,,9,,100,D,46.32549,-117.62538,WA,23,Garfield
1997,1997,1800,19,600,100,D,29.9333333,-93.4021,LA,,
1997,1997,,12,,100,D,35.7083,-78.1283,NC,,
1997,1997,,19,,100,D,26.09,-80.43,FL,11,Broward
1993,1993,1700,8,,100,D,29.65,-85.1144444,FL,,
1993,1993,1700,4,2130,100,D,46.9,-119.2333333,WA,,
1997,1997,1630,12,600,100,D,29.9333333,-93.7,LA,,
1997,1997,,1,,100,D,26.15,-80.45,FL,11,Broward
1998,1998,,3,,100,D,27.89,-80.91,FL,97,Osceola
1998,1998,,3,,100,D,27.64,-82.24,FL,81,Manatee
1993,1993,1300,14,1800,100,D,32.63673662,-111.0224631,AZ,21,Pinal
1998,1998,,19,,100,D,27.13,-82.24,FL,115,Sarasota
1998,1998,,7,,100,D,27.13,-82.24,FL,115,Sarasota
1993,1993,,7,,100,D,26.3711,-80.4989,FL,99,Palm Beach
1993,1993,,18,,100,D,26.23,-80.48,FL,11,Broward
1998,1998,1930,8,200,100,D,33.84166667,-91.38333333,AR,,
1998,1998,,18,,100,D,34.4333,-80.65,SC,,
1999,1999,,15,,100,D,32.03958,-95.76875,TX,1,Anderson
1993,1993,1300,15,,100,D,29.9166667,-93.75,LA,,
1993,1993,1735,15,0,100,D,35.33652138,-114.2957799,AZ,15,Mohave
1999,1999,,3,,100,D,36.58333333,-106.05,NM,,
1999,1999,,19,,100,D,45.6881,-99.548,SD,,
1993,1993,,18,,100,D,26.88,-80.22,FL,99,Palm Beach
1999,1999,,16,,100,D,26.98,-80.57,FL,85,Martin
1993,1993,100,9,,100,D,30.5936111,-82.3219444,GA,,
1999,1999,1200,3,1930,100,D,29.716,-94.075,TX,,
1999,1999,,11,,100,D,28.57,-82.29,FL,53,Hernando
1993,1993,2200,4,1745,100,D,31.1214,-83.4763,GA,75,Cook
1993,1993,1415,10,855,100,D,29.85,-93.7611111,LA,,
1993,1993,,4,,100,D,29.97,-84.89,FL,37,Franklin
1999,1999,1737,11,,100,D,28.73333333,-82.61666667,FL,,
1993,1993,,18,,100,D,34.5383,-77.7283,NC,,
1993,1993,2130,4,1230,100,D,28.183,-96.8833,TX,,
1999,1999,,9,,100,D,27.14,-82.29,FL,115,Sarasota
1993,1993,,18,,100,D,34.6017,-78.195,NC,,
2000,2000,,19,,100,D,33.57666998,-103.6983,NM,5,Chaves
2000,2000,,15,,100,D,45.9121,-106.8665,MT,87,Rosebud
