FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME
2005,07-15-2003,1635,10,2100,10,C,46.64106,-103.47384,ND,,
2005,07-17-2000,1545,15,1700,10,C,26.18518,-81.25876,FL,,
2005,05-15-1992,1615,9,1716,10,C,42.65,-100.5166667,NE,,
2005,08-29-1993,1356,12,1830,10,C,30.5001,-97.9542,TX,,
2005,07-03-1994,1900,1,2130,10,C,41.76666667,-102.2666667,NE,,
2005,09-06-1998,1400,19,1700,10,C,29.71666667,-94.05,TX,,
2005,07-30-2000,1630,10,1830,10,C,28.216,-96.8833,TX,,
2005,07-01-2001,1600,17,1830,10,C,41.75,-102.5,NE,,
2005,08-21-2002,530,10,1800,10,C,38.13055556,-98.50694444,KS,,
2005,08-03-2002,1830,4,2030,10,C,42.47777778,-100.5122222,NE,,
2005,07-31-2003,1800,7,2300,10,C,38.10833333,-98.58333333,KS,,
2005,07-20-2003,1600,7,2000,10,C,41.39,-102.39,NE,,
2005,06-03-2004,1430,6,1830,10,C,26.155,-81.45305556,FL,,
2005,08-15-2004,1900,8,1915,10,C,41.90472222,-101.5875,NE,,
2005,08-04-2005,1815,5,1915,10,C,34.84583333,-98.73083333,OK,,
2005,08-06-2005,1445,18,1645,10,C,28.88111111,-95.47833333,TX,,
2005,04-04-2006,1400,7,1600,10,C,38.54138889,-76.10944444,MD,,
2005,06-15-2006,1645,11,1900,10,C,42.77722222,-100.7877778,NE,,
2005,06-16-2008,1530,13,1900,10,C,25.95722222,-81.35972222,FL,,
2005,06-19-2008,1400,19,1600,10,C,33.12416667,-83.66388889,GA,,
2005,06-22-2008,1515,18,1645,10,C,35.83361111,-75.73722222,NC,,
2005,06-27-2008,1300,7,1530,10,C,34.5275,-80.16333333,SC,,
2005,06-13-2009,1300,9,1645,10,C,62.0336,-161.7667,AK,,
2006,06-22-1992,1535,8,2105,10,C,32.11571921,-110.0718006,AZ,3,Cochise
2006,08-05-1993,1559,17,2100,10,C,33.83589378,-112.439996,AZ,13,Maricopa
2006,08-20-2002,,3,,10,C,44.57631,-120.36363,OR,69,Wheeler
2006,07-23-1994,,13,,10,C,44.77283,-119.3716,OR,23,Grant
2006,05-18-1992,1629,9,1930,10,C,33.57524317,-112.0750668,AZ,13,Maricopa
2006,05-17-1997,,5,,10,C,44.49822,-120.83676,OR,31,Jefferson
2006,08-28-1994,,18,,10,C,45.82714,-117.65716,OR,63,Wallowa
2006,05-23-1994,1451,14,,10,C,32.73570691,-110.4896359,AZ,21,Pinal
2006,07-08-2003,,14,,10,C,44.84575,-117.29703,OR,1,Baker
2006,08-10-1995,,12,,10,C,44.6463,-119.62081,OR,23,Grant
2007,06-21-1992,1314,10,1545,10,C,36.7355954,-113.6383622,AZ,15,Mohave
2007,07-13-1995,1203,6,1600,10,C,35.16467335,-113.6680869,AZ,15,Mohave
2007,08-10-2006,,4,,10,C,44.775,-119.54233,OR,23,Grant
2007,08-22-2006,,8,,10,C,45.02217,-118.88167,OR,59,Umatilla
2008,07-20-2005,1715,6,2230,10,C,37.97555556,-118.9277778,CA,,
2008,08-17-2000,1745,12,1930,10,C,42.20888889,-112.2172222,ID,71,Oneida
2008,08-08-2001,1651,7,1930,10,C,32.73805556,-116.3805556,CA,,
2008,08-13-2001,1200,11,1800,10,C,43.35415,-116.22822,ID,1,Ada
2008,08-13-2001,1330,7,1800,10,C,47.4898,-115.7214,ID,,
2008,08-02-2004,1630,12,1900,10,C,45.9228,-116.3931,ID,,
2008,07-05-1996,1530,8,2359,10,C,47.2974,-114.3426,MT,,
2008,08-23-1994,1200,15,2359,10,C,45.25,-107.1506,MT,,
2008,07-17-1992,,10,,10,C,42.32446,-123.60964,OR,33,Josephine
2009,05-11-2007,1830,4,2020,10,C,31.063455,-87.437609,AL,53,Escambia
2009,05-14-2007,1300,13,1445,10,C,33.453236,-88.24919,AL,107,Pickens
2009,06-11-2007,1547,10,1830,10,C,32.36483,-86.511743,AL,1,Autauga
2009,06-06-2007,1539,6,1711,10,C,32.834737,-85.947417,AL,123,Tallapoosa
2009,06-15-2007,746,18,1028,10,C,33.356712,-87.101326,AL,73,Jefferson
2009,06-30-2007,1657,20,1859,10,C,33.112179,-85.921819,AL,27,Clay
2009,08-19-2007,1245,17,1519,10,C,32.912334,-85.463929,AL,17,Chambers
2009,08-25-2007,1857,3,2109,10,C,33.023378,-86.363699,AL,37,Coosa
2009,07-10-1998,850,8,1209,10,C,30.45886182,-88.80613643,MS,59,Jackson
2009,07-08-1998,436,4,745,10,C,30.56327668,-89.76414703,MS,109,Pearl River
2009,08-25-1999,1730,3,2000,10,C,34.61111818,-89.70259758,MS,137,Tate
2009,08-29-1999,1330,10,1600,10,C,34.61125102,-89.70651536,MS,137,Tate
2009,08-30-1999,1730,3,2000,10,C,34.56307623,-89.740491,MS,137,Tate
2009,05-06-2010,1435,8,2100,10,C,45.8294444,-88.6488889,WI,37,Florence
2009,06-27-2010,1230,5,2200,10,C,36.4177778,-105.783611,NM,55,Taos
2009,07-19-2010,1558,15,2000,10,C,48.39569,-112.85818,MT,,
2009,09-02-2010,2000,11,2300,10,C,35.2711,-98.855,OK,,
2009,06-16-2010,1335,17,1335,10,C,65.6692,-153.4183,AK,,
2009,08-16-2010,1245,14,1515,10,C,40.3017,-111.9831,UT,49,Utah
2009,08-25-2003,1920,3,1920,10,C,34.43183333,-95.70349998,OK,127,Pushmataha
2009,08-22-2010,2240,3,2240,10,C,33.90849997,-94.4805,OK,89,McCurtain
2009,08-24-2010,1740,18,1740,10,C,33.90849997,-94.48033333,OK,89,McCurtain
2009,04-19-2010,1702,4,1702,10,C,40.3436,-104.5282,CO,123,Weld
2009,06-02-2002,1220,16,1220,10,C,32.4921,-81.6074,GA,31,Bulloch
2009,06-01-2009,1630,13,1630,10,C,36.2469,-104.5704,NM,7,Colfax
2009,06-10-2009,1518,18,1518,10,C,32.773278,-108.192806,NM,17,Grant
2009,06-22-2009,1550,1,1550,10,C,34.027338,-104.038796,NM,5,Chaves
2009,07-17-2009,1400,6,1400,10,C,35.498056,-104.504444,NM,47,San Miguel
2009,10-20-2009,1730,8,1730,10,C,34.742414,-103.909206,NM,37,Quay
2010,08-02-2008,2155,1,2155,10,C,44.57931532,-106.0985188,WY,,
2010,07-20-2006,1615,13,1814,10,C,41.10083853,-104.4378249,WY,,
2010,07-23-2005,1450,17,1901,10,C,41.10543375,-104.2737801,WY,,
2010,07-19-2002,2210,6,,10,C,44.24605282,-105.7049806,WY,,
2010,04-19-1995,1845,4,1845,10,C,39.19202779,-81.03350039,WV,85,Ritchie
2010,05-03-1992,2000,12,2000,10,C,39.40460419,-80.76432253,WV,95,Tyler
2010,10-05-2007,2119,7,,10,C,36.5887,-84.11588,TN,13,Campbell
2010,08-05-2010,1723,17,1723,10,C,30.3158,-85.8059,FL,5,Bay
2010,08-07-2010,1335,15,1335,10,C,30.4796,-85.4797,FL,5,Bay
2010,08-21-2010,1806,16,1806,10,C,27.1679,-80.3747,FL,85,Martin
2010,08-04-2010,,8,,10,C,29.5556,-81.4388,FL,35,Flagler
2010,05-07-2010,1645,10,1645,10,C,27.1515,-80.9376,FL,43,Glades
2010,06-03-2010,1530,4,1530,10,C,27.0123,-81.5248,FL,43,Glades
2010,06-16-2010,2020,10,2020,10,C,26.8206,-81.9143,FL,15,Charlotte
2010,06-17-2010,1655,11,1655,10,C,26.7884,-81.8544,FL,15,Charlotte
2010,06-13-2010,1853,4,1853,10,C,29.2148,-83.0139,FL,75,Levy
2010,06-16-2010,1541,13,1541,10,C,28.5615,-81.0493,FL,95,Orange
2010,06-17-2010,1915,10,1915,10,C,27.3462,-80.3256,FL,111,St. Lucie
2010,06-19-2010,1730,4,1730,10,C,27.0178,-82.0368,FL,15,Charlotte
2010,06-22-2010,1800,18,1800,10,C,27.8152,-82.1245,FL,57,Hillsborough
2010,06-21-2010,1730,9,1730,10,C,29.4026,-82.3693,FL,83,Marion
2010,06-26-2010,2043,10,2043,10,C,29.2736,-82.6184,FL,75,Levy
2010,08-05-2009,1025,16,1512,10,C,45.955659,-116.479896,ID,49,Idaho
2010,07-08-1993,1830,1,,10,C,31.1553,-82.3175,GA,299,Ware
2009,08-16-2002,1526,1,1526,10.01,C,31.84923515,-81.79483416,GA,251,Screven
2010,05-16-1995,830,15,1100,10.03,C,32.6979,-81.9512,GA,165,Jenkins
2009,07-02-2002,1955,13,1955,10.06,C,32.68542638,-82.89433743,GA,175,Laurens
2009,07-17-2002,1610,7,1610,10.08,C,32.25127745,-81.5042604,GA,31,Bulloch
2008,05-16-1998,1815,6,1845,10.1,C,38.49389,-109.43528,UT,,
2009,06-15-2002,1724,17,1724,10.1,C,30.6413,-83.0734,GA,101,Echols
2010,08-20-2010,1645,15,1645,10.1,C,29.0334,-81.0838,FL,127,Volusia
2009,07-17-2000,1520,7,1520,10.2,C,32.3729,-84.0762,GA,193,Macon
2010,06-20-1997,1645,8,1900,10.2,C,33.0581,-82.7656,GA,303,Washington
2009,07-23-2000,1630,4,1630,10.21,C,30.9323,-81.7397,GA,39,Camden
2009,08-21-2002,1406,13,1406,10.25,C,31.80767488,-82.42304263,GA,303,Washington
2010,07-25-1994,1830,20,,10.25,C,30.7437,-81.5024,GA,39,Camden
2009,07-06-2002,1515,1,1515,10.27,C,33.62845466,-82.5223358,GA,189,McDuffie
2009,09-14-2010,1615,9,2000,10.3,C,41.51444444,-112.1052778,UT,,
2010,07-31-1992,2000,19,2210,10.31,C,32.0299,-83.5316,GA,315,Wilcox
2010,07-08-1993,1725,18,1839,10.37,C,34.0525,-83.3288,GA,195,Madison
2009,08-17-2002,1546,14,1546,10.38,C,31.83827672,-84.25265907,GA,177,Lee
2007,07-07-2007,,17,,10.4,C,42.06817,-121.57767,OR,35,Klamath
2008,08-23-2007,1200,19,1800,10.4,C,43.26903,-116.18179,ID,1,Ada
2009,09-04-2010,1359,2,1518,10.4,C,45.9264,-105.3022,MT,17,Custer
2010,08-02-2010,1420,9,1420,10.4,C,29.3606,-81.647,FL,107,Putnam
2009,07-29-2010,1420,1,1547,10.44,C,30.2191667,-82.6069444,FL,23,Columbia
