FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS
2010,07-29-2010,2100,0,2100,0.25,A
2010,09-22-2010,1653,0,1653,5,B
2010,08-18-2010,,14,,0.1,A
2010,10-01-2010,,3,,0.1,A
2010,10-03-2010,,1,,0.1,A
2010,10-03-2010,1717,2,1717,0.1,A
2010,09-22-2010,1400,1,1400,0.1,A
2010,08-04-2010,1214,1,1214,0.1,A
2010,08-04-2010,1804,1,1804,0.1,A
2010,08-05-2010,1147,0,1147,0.1,A
2010,08-13-2010,1529,20,1529,0.5,B
2010,09-08-2010,,0,,0.1,A
2010,07-17-2010,1958,32,1958,0.1,A
2010,08-23-2010,2300,1,2300,0.1,A
2010,08-16-2010,,0,,0.11,A
2010,07-14-2010,1420,0,1420,0.8,B
2010,07-12-2010,1650,0,1650,3,B
2010,07-15-2010,1332,0,1332,3,B
2010,06-28-2010,1335,0,1335,6.5,B
2010,07-15-2010,1504,0,1504,0.1,A
2010,07-15-2010,1712,0,1712,0.2,A
2010,07-14-2010,1545,0,1545,0.7,B
2010,07-18-2010,1300,0,1300,20,C
2010,07-14-2010,1850,0,1850,31,C
2010,04-24-2010,1730,29,1730,158,D
2010,07-12-2010,2000,0,2000,2.1,B
2010,07-15-2010,1315,0,1315,57,C
2010,07-25-2010,1500,0,1500,1,B
2010,07-26-2010,1929,0,1929,1.5,B
2010,07-27-2010,1615,0,1615,0.3,B
2010,07-27-2010,1730,0,1730,0.1,A
2010,07-13-2010,1530,0,1530,2.9,B
2010,07-28-2010,1500,0,1500,0.1,A
2010,07-28-2010,1700,0,1700,0.3,B
2010,07-27-2010,1550,0,1550,2.5,B
2010,07-29-2010,1310,0,1310,0.1,A
2010,07-27-2010,1710,0,1710,0.1,A
2010,07-28-2010,1553,0,1553,0.1,A
2010,07-28-2010,1605,0,1605,0.1,A
2010,07-15-2010,1350,0,1350,1.5,B
2010,07-28-2010,1506,0,1506,0.1,A
2010,07-18-2010,1540,0,1540,3,B
2010,07-28-2010,1710,0,1710,3,B
2010,06-19-2010,1715,41,1715,30,C
2010,07-28-2010,2100,0,2100,70,C
2010,07-11-2010,1900,0,1900,1,B
2010,06-30-2010,1515,0,1515,6,B
2010,07-12-2010,,0,,1,B
2010,07-07-2010,1230,1,1230,0.1,A
2010,06-22-2010,1330,0,1330,1,B
2010,07-11-2010,,0,,0.1,A
2010,07-13-2010,1600,0,1600,6,B
2010,07-13-2010,1715,1,1715,7.5,B
2010,07-15-2010,1000,0,1000,0.1,A
2010,07-15-2010,1647,0,1647,0.1,A
2010,07-15-2010,1738,0,1738,0.5,B
2010,07-16-2010,1315,0,1315,0.1,A
2010,07-12-2010,1330,0,1330,6.8,B
2010,07-11-2010,1750,1,1750,33.7,C
2010,07-29-2010,1250,0,1250,0.5,B
2010,07-31-2010,1430,0,1430,20,C
2010,07-29-2010,1750,0,1750,0.3,B
2010,07-30-2010,,0,,19,C
2010,07-29-2010,1415,0,1415,5.2,B
2010,08-01-2010,1142,0,1142,0.1,A
2010,07-29-2010,1850,0,1850,2,B
2010,07-28-2010,1639,0,1639,1,B
2010,08-01-2010,1154,0,1154,1,B
2010,07-16-2010,1215,0,1215,5,B
2010,08-01-2010,1620,0,1620,0.1,A
2010,08-01-2010,1942,0,1942,0.1,A
2010,07-28-2010,1700,1,1700,15,C
2010,07-30-2010,1350,0,1350,35,C
2010,07-30-2010,1900,0,1900,0.5,B
2010,07-30-2010,1003,0,1003,1,B
2010,07-29-2010,1455,0,1455,2,B
2010,07-30-2010,2015,0,2015,6,B
2010,07-30-2010,1314,0,1314,0.3,B
2010,07-28-2010,1430,0,1430,1,B
2010,07-28-2010,1630,0,1630,75,C
2010,07-31-2010,1315,0,1315,0.1,A
2010,07-23-2010,2020,1,2020,2,B
2010,07-28-2010,1513,0,1513,2.2,B
2010,08-02-2010,1750,0,1750,2,B
2010,07-27-2010,1445,0,1445,0.1,A
2010,07-28-2010,1615,0,1615,0.1,A
2010,07-28-2010,1639,0,1639,0.6,B
2010,07-29-2010,2323,1,2323,10,C
2010,07-28-2010,1430,0,1430,1,B
2010,07-31-2010,1355,0,1355,15,C
2010,07-29-2010,1200,0,1200,55,C
2010,08-02-2010,1728,0,1728,0.1,A
2010,08-03-2010,1605,0,1605,0.1,A
2010,08-02-2010,1545,0,1545,1,B
2010,08-01-2010,1500,0,1500,0.3,B
2010,08-02-2010,1300,0,1300,1.6,B
2010,07-15-2010,1533,0,1533,0.1,A
2010,07-29-2010,1530,0,1530,30.2,C
2010,08-01-2010,1526,0,1526,0.5,B
2010,08-02-2010,1545,0,1545,5,B
2010,07-31-2010,1648,0,1648,0.1,A
