FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,FIPS_CODE,FIPS_NAME
2005,06-09-2004,1455,,,0.1,A,44.435,-110.7125,WY,,
2005,06-09-2004,1544,0,1717,0.1,A,44.4214,-110.7133,WY,,
2005,06-09-2004,1716,,,0.1,A,45.0061,-110.2081,MT,,
2005,06-09-2004,1915,,,0.1,A,44.3883,-110.5578,WY,,
2005,06-25-2004,2000,,,0.1,A,44.325,-110.6317,WY,,
2005,06-25-2004,2000,,,0.1,A,44.2933,-110.5217,WY,,
2005,07-04-2004,1654,,,0.1,A,44.4517,-110.2797,WY,,
2005,07-04-2004,1737,,,0.1,A,44.3083,-110.525,WY,,
2005,07-16-2004,1645,8,1400,0.1,A,44.4833,-110.4653,WY,,
2005,08-03-2004,1330,,,0.1,A,44.7833,-110.5833,WY,,
2005,08-04-2004,1730,1,1600,0.2,A,44.5219,-110.4817,WY,,
2005,08-06-2004,1550,,,0.1,A,44.3528,-110.8319,WY,,
2005,08-06-2004,1600,,,0.1,A,44.1628,-110.8617,WY,,
2005,08-07-2004,1018,,,159,D and above,44.3333,-110.2819,WY,,
2005,08-08-2004,1900,,,0.1,A,44.1744,-110.8078,WY,,
2005,08-13-2004,1630,,,28,C,44.825,-110.2308,WY,,
2005,08-16-2004,1652,,,0.1,A,44.9033,-110.3467,WY,,
2005,08-16-2004,1730,1,1000,0.1,A,45.0183,-110.955,MT,,
2005,08-17-2004,1545,0,1800,0.1,A,45.05,-110.9333,MT,,
2005,08-17-2004,1600,0,2000,0.1,A,44.92,-110.3883,WY,,
2005,08-17-2004,1640,,,0.1,A,44.9417,-110.2883,WY,,
2005,06-21-2005,1600,,,0.1,A,44.2514,-110.7347,WY,,
2005,07-14-2005,1618,82,1800,90,C,44.4822,-110.64,WY,,
2005,07-16-2005,1623,5,1800,0.1,A,44.2347,-110.7347,WY,,
2005,07-22-2005,2105,,,0.1,A,44.2681,-110.5344,WY,,
2005,08-01-2005,2030,,,0.1,A,44.5958,-110.3256,WY,,
2005,08-02-2005,1445,1,1000,0.3,B,44.4917,-110.0167,WY,,
2005,08-03-2005,1215,0,1800,0.1,A,44.9544,-111.065,MT,,
