FIRE_YEAR,Fire_Date,DISCOVERY_TIME,Days_to_extinguish_fire,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS
2010,07-29-2010,2323,1,2323,10,C
2010,08-06-2010,1316,5,1316,10,C
2010,08-05-2010,1723,0,1723,10,C
2010,08-07-2010,1335,0,1335,10,C
2010,08-20-2010,2155,1,2155,10,C
2010,08-21-2010,1806,0,1806,10,C
2010,08-04-2010,,0,,10,C
2010,09-24-2010,1845,1,1845,10,C
2010,05-07-2010,1645,0,1645,10,C
2010,06-03-2010,1530,0,1530,10,C
2010,06-16-2010,2020,0,2020,10,C
2010,06-17-2010,1655,0,1655,10,C
2010,06-13-2010,1853,0,1853,10,C
2010,06-16-2010,1541,0,1541,10,C
2010,06-17-2010,1915,0,1915,10,C
2010,06-19-2010,1730,0,1730,10,C
2010,06-22-2010,1800,0,1800,10,C
2010,06-21-2010,1730,0,1730,10,C
2010,06-26-2010,2043,0,2043,10,C
2010,07-26-2010,1320,7,,10,C
2010,08-15-2010,1438,2,,10,C
2010,01-28-2010,1320,3,,10,C
2010,07-09-2010,1900,3,300,10,C
2010,08-20-2010,1645,0,1645,10.1,C
2010,05-24-2010,1240,7,,10.2,C
2010,05-23-2010,1455,10,,10.2,C
2010,08-02-2010,1420,0,1420,10.4,C
2010,06-27-2010,1430,7,,10.4,C
2010,07-09-2010,1420,4,,10.4,C
2010,08-02-2010,1600,0,1600,10.5,C
2010,06-25-2010,601,0,1000,10.5,C
2010,03-05-2010,1500,6,,10.54,C
2010,04-15-2010,1430,1,,10.7,C
2010,05-27-2010,1325,6,,10.8,C
2010,08-05-2010,1801,0,1801,11,C
2010,09-25-2010,1139,0,1139,11,C
2010,06-03-2010,1540,0,1540,11,C
2010,06-16-2010,,0,,11,C
2010,06-21-2010,1549,0,1549,11,C
2010,06-16-2010,1546,0,1546,11,C
2010,06-22-2010,,0,,11,C
2010,08-02-2010,,0,,11,C
2010,03-18-2010,1445,2,,11,C
2010,06-24-2010,1600,3,2100,11,C
