status;price;bed;bath;acre_lot;city;state;zip_code;house_size;sold_date
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;149900;1;1;0,26;Aguada;Puerto Rico;602;2100;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;475000;1;3;0,13;Arecibo;Puerto Rico;612;10000;
for_sale;39500;1;1;0,14;Arecibo;Puerto Rico;612;800;
for_sale;97000;1;2;;Cabo Rojo;Puerto Rico;622;900;
for_sale;25000;1;1;0,12;Cabo Rojo;Puerto Rico;623;491;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;25000;1;1;0,12;Cabo Rojo;Puerto Rico;623;491;
for_sale;220000;1;1;;Cabo Rojo;Puerto Rico;623;736;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;97000;1;2;;Cabo Rojo;Puerto Rico;622;900;
for_sale;97000;1;2;;Cabo Rojo;Puerto Rico;622;900;
for_sale;115000;1;1;;Rincon;Puerto Rico;677;568;
for_sale;145000;1;1;;Guanica;Puerto Rico;647;729;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;25000;1;1;0,12;Cabo Rojo;Puerto Rico;623;491;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;145000;1;1;;Guanica;Puerto Rico;647;729;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;115000;1;1;;Rincon;Puerto Rico;677;568;
for_sale;97000;1;2;;Cabo Rojo;Puerto Rico;622;900;
for_sale;25000;1;1;0,12;Cabo Rojo;Puerto Rico;623;491;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;145000;1;1;;Guanica;Puerto Rico;647;729;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;97000;1;2;;Cabo Rojo;Puerto Rico;622;900;
for_sale;145000;1;1;;Guanica;Puerto Rico;647;729;
for_sale;145000;1;1;;Guanica;Puerto Rico;647;729;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;115000;1;1;;Rincon;Puerto Rico;677;568;
for_sale;115000;1;1;;Rincon;Puerto Rico;677;568;
for_sale;25000;1;1;0,12;Cabo Rojo;Puerto Rico;623;491;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;82000;1;1;;Mayaguez;Puerto Rico;680;471;
for_sale;125000;1;1;;San Juan;Puerto Rico;920;596;
for_sale;191000;1;1;;San Juan;Puerto Rico;907;664;
for_sale;410000;1;1;0,07;San Juan;Puerto Rico;995;4180;
for_sale;350000;1;2;;Humacao;Puerto Rico;791;1011;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;125000;1;1;;San Juan;Puerto Rico;920;596;
for_sale;636000;1;1;;San Juan;Puerto Rico;901;1300;
for_sale;115000;1;1;;Rincon;Puerto Rico;677;568;
for_sale;85000;1;1;0,09;Toa Baja;Puerto Rico;949;3767;
for_sale;95500;1;1;;San Juan;Puerto Rico;920;577;
for_sale;90000;1;1;;San Juan;Puerto Rico;924;608;
for_sale;395000;1;1;;San Juan;Puerto Rico;907;938;
for_sale;975000;1;2;;San Juan;Puerto Rico;907;1074;
for_sale;105000;1;1;;San Juan;Puerto Rico;917;527;
for_sale;249000;1;1;;San Juan;Puerto Rico;901;480;
for_sale;191000;1;1;;San Juan;Puerto Rico;907;664;
for_sale;359000;1;1;;San Juan;Puerto Rico;909;718;
for_sale;450000;1;1;;San Juan;Puerto Rico;907;812;
for_sale;410000;1;1;0,07;San Juan;Puerto Rico;995;4180;
for_sale;1250000;1;1;25,94;Cayey;Puerto Rico;736;3000;
for_sale;97000;1;1;;San Juan;Puerto Rico;924;673;
for_sale;86000;1;1;;San Juan;Puerto Rico;924;600;
for_sale;359000;1;1;;San Juan;Puerto Rico;909;672;
for_sale;369000;1;1;;San Juan;Puerto Rico;909;609;
for_sale;170000;1;1;;Humacao;Puerto Rico;791;948;
for_sale;50000;1;1;0,12;Humacao;Puerto Rico;791;618;
for_sale;1250000;1;1;25,94;Cayey;Puerto Rico;736;3000;
for_sale;95500;1;1;;San Juan;Puerto Rico;920;577;
for_sale;210000;1;1;;Carolina;Puerto Rico;979;643;
for_sale;90000;1;1;;San Juan;Puerto Rico;924;608;
for_sale;1250000;1;1;25,94;Cayey;Puerto Rico;736;3000;
for_sale;105000;1;1;;San Juan;Puerto Rico;917;527;
for_sale;369000;1;1;;San Juan;Puerto Rico;909;609;
for_sale;350000;1;1;;Carolina;Puerto Rico;979;691;
for_sale;191000;1;1;;San Juan;Puerto Rico;907;664;
for_sale;359000;1;1;;San Juan;Puerto Rico;909;718;
for_sale;1250000;1;1;25,94;Cayey;Puerto Rico;736;3000;
for_sale;29000;1;1;0,18;Canovanas;Puerto Rico;729;586;
for_sale;57000;1;1;;Carolina;Puerto Rico;983;616;
for_sale;97000;1;1;;San Juan;Puerto Rico;924;673;
for_sale;359000;1;1;;San Juan;Puerto Rico;909;672;
for_sale;86000;1;1;;San Juan;Puerto Rico;924;600;
for_sale;400000;1;1;;Carolina;Puerto Rico;979;905;
for_sale;90000;1;1;;San Juan;Puerto Rico;924;608;
for_sale;1250000;1;1;25,94;Cayey;Puerto Rico;736;3000;
for_sale;97000;1;1;;San Juan;Puerto Rico;924;673;
for_sale;86000;1;1;;San Juan;Puerto Rico;924;600;
for_sale;97000;1;2;;Cabo Rojo;Puerto Rico;622;900;
for_sale;115000;1;1;;Rincon;Puerto Rico;677;568;
for_sale;145000;1;1;;Guanica;Puerto Rico;647;729;
for_sale;25000;1;1;0,12;Cabo Rojo;Puerto Rico;623;491;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;125000;1;1;;San Juan;Puerto Rico;920;596;
for_sale;636000;1;1;;San Juan;Puerto Rico;901;1300;
for_sale;29000;1;1;0,18;Canovanas;Puerto Rico;729;586;
for_sale;1250000;1;1;25,94;Cayey;Puerto Rico;736;3000;
for_sale;475000;1;1;;Fajardo;Puerto Rico;738;860;
for_sale;650000;1;1;;Fajardo;Puerto Rico;738;1031;
for_sale;550000;1;1;;Fajardo;Puerto Rico;738;833;
for_sale;170000;1;1;;Luquillo;Puerto Rico;773;538;
for_sale;29000;1;1;0,18;Canovanas;Puerto Rico;729;586;
for_sale;170000;1;1;;Luquillo;Puerto Rico;773;538;
for_sale;350000;1;2;;Humacao;Puerto Rico;791;1011;
for_sale;350000;1;2;;Rio Grande;Puerto Rico;745;1335;
for_sale;249000;1;2;0,2;Vieques;Puerto Rico;765;1099;
for_sale;325000;1;1;0,35;Vieques;Puerto Rico;765;1400;
for_sale;424000;1;1;0,56;Vieques;Puerto Rico;765;1228;
for_sale;220000;1;1;0,1;Ponce;Puerto Rico;730;850;
for_sale;85000;1;1;0,09;Toa Baja;Puerto Rico;949;3767;
for_sale;95500;1;1;;San Juan;Puerto Rico;920;577;
for_sale;130000;1;2;;Rio Grande;Puerto Rico;745;693;
for_sale;170000;1;1;;Humacao;Puerto Rico;791;948;
for_sale;127000;1;1;;Luquillo;Puerto Rico;773;800;
for_sale;50000;1;1;0,12;Humacao;Puerto Rico;791;618;
for_sale;550000;1;1;;Fajardo;Puerto Rico;738;833;
for_sale;650000;1;1;;Fajardo;Puerto Rico;738;1031;
for_sale;171000;1;1;;Luquillo;Puerto Rico;773;600;
for_sale;80000;1;1;;Ponce;Puerto Rico;717;800;
for_sale;1250000;1;1;25,94;Cayey;Puerto Rico;736;3000;
for_sale;127000;1;1;;Luquillo;Puerto Rico;773;800;
for_sale;50000;1;1;0,12;Humacao;Puerto Rico;791;618;
for_sale;550000;1;1;;Fajardo;Puerto Rico;738;833;
for_sale;650000;1;1;;Fajardo;Puerto Rico;738;1031;
for_sale;171000;1;1;;Luquillo;Puerto Rico;773;600;
for_sale;395000;1;1;;San Juan;Puerto Rico;907;938;
